department,product_category,total_sales_value,total_baskets,unique_households,unique_products
DRUG GM,DEODORANTS,9094.59,2431,991,435
PRODUCE,CARROTS,9067.81,4705,1251,44
GROCERY,PICKLE/RELISH/PKLD VEG,8978.0,3522,1196,232
DRUG GM,BABY HBC,8897.77,2224,739,289
GROCERY,WAREHOUSE SNACKS,8728.68,3544,1125,197
PASTRY,COOKIES,8551.9,2047,888,246
PRODUCE,MELONS,8424.67,2445,866,37
DRUG GM,BOOKSTORE,8113.55,797,428,671
PRODUCE,VEGETABLES SALAD,7853.34,5948,1300,42
DRUG GM,BATTERIES,7493.64,1290,728,134
DRUG GM,AUDIO/VIDEO PRODUCTS,7477.7699999999995,512,329,303
GROCERY,MOLASSES/SYRUP/PANCAKE MIXS,7457.25,2503,1054,136
GROCERY,PET CARE SUPPLIES,7171.49,1448,554,532
PASTRY,PIES,7070.13,1593,640,169
GROCERY,DRY SAUCES/GRAVY,7025.86,3556,1093,192
GROCERY,DRY MIX DESSERTS,6965.81,3207,1120,284
PRODUCE,POPCORN,6922.5,2194,865,163
DRUG GM,FIRST AID PRODUCTS,6874.32,1509,762,358
DRUG GM,SINUS AND ALLERGY,6834.01,915,458,160
PRODUCE,MUSHROOMS,6806.84,2719,686,57
DRUG GM,ANTACIDS,6731.27,1000,512,194
GROCERY,TEAS,6368.71,1918,783,275
DRUG GM,CHARCOAL AND LIGHTER FLUID,6355.72,1095,527,107
NUTRITION,FROZEN,6160.650000000001,878,237,268
PASTRY,ROLLS,5970.11,2889,933,164
DRUG GM,TOYS AND GAMES,5964.45,1164,555,552
NUTRITION,FITNESS&DIET,5937.62,1058,260,245
DRUG GM,ELECTRICAL SUPPPLIES,5780.82,1483,753,281
GROCERY,BLEACH,5760.12,2035,873,79
PRODUCE,BROCCOLI/CAULIFLOWER,5754.39,2557,759,30
DRUG GM,CHRISTMAS  SEASONAL,5713.88,1052,614,589
DRUG GM,BROOMS AND MOPS,5684.96,1698,792,273
SEAFOOD,SEAFOOD - FROZEN,5617.45,572,266,73
NUTRITION,DRIED FRUIT,5466.39,1728,652,127
DRUG GM,LAXATIVES,5225.5,812,338,145
PRODUCE,NUTS,5128.81,1051,457,77
GARDEN CENTER,GARDEN CENTER,5068.46,325,209,93
GROCERY,COCOA MIXES,5068.1,1956,858,98
GROCERY,MISC WINE,4915.12,656,377,165
DRUG GM,IN-STORE PHOTOFINISHING,4771.42,439,221,103
DRUG GM,PLASTIC HOUSEWARES,4581.85,1172,685,232
DRUG GM,TICKETS,4406.83,403,217,7
PRODUCE,VALUE ADDED VEGETABLES,4183.35,1253,494,77
DRUG GM,EYE AND EAR CARE PRODUCTS,4147.53,634,353,152
DRUG GM,KITCHEN GADGETS,4133.45,1047,689,341
FLORAL,ROSES,4060.88,279,202,38
NUTRITION,CEREAL/BREAKFAST,4020.88,841,229,137
DRUG GM,FILM AND CAMERA PRODUCTS,3863.27,504,336,130
DELI,PARTY TRAYS,3805.75,236,162,39
DRUG GM,COOKWARE & BAKEWARE,3751.46,546,417,188
GROCERY,FRZN ICE,3637.45,1319,591,19
DRUG GM,INFANT CARE PRODUCTS,3607.79,645,316,257
DRUG GM,NEWSPAPER,3490.11,2744,585,52
GROCERY,OLIVES,3430.05,1491,551,85
GROCERY,FRZN FRUITS,3426.35,647,269,37
GROCERY,FRZN JCE CONC/DRNKS,3357.78,1079,379,85
SEAFOOD-PCKGD,FROZEN - BOXED(GROCERY),3234.1800000000003,518,311,74
DRUG GM,ADULT INCONTINENCE,3220.61,308,84,43
NUTRITION,CHIPS&SNACKS,3219.01,929,321,135
MEAT-PCKGD,MISCELLANEOUS,3201.0,1226,602,56
